Number,Series,Division,MatchType,Date,Time,TeamOne,TeamTwo,Ground,UmpireOne,UmpireTwo,UmpireThree,UmpireFour,MatchManager,Scorer1,Scorer2,IsFixed
1,CPLKC-T15-SPRING-2026,Div D,League,04/26/2026,4:15 PM,Punjab Eagles,Punjab XI,PCG,Jaguars,Ace XI,,,,,,True
2,CPLKC-T15-SPRING-2026,Div B,League,04/25/2026,8:00 AM,Nepal XI,Rising Stars,OCG,Tuskers,Bharat XI,,,,,,True
3,CPLKC-T15-SPRING-2026,Div A,League,04/26/2026,10:45 AM,KC Raptors,LIMRA Defenders,OCG,Wolves,Sunrisers Lakes XI,,,,,,True
4,CPLKC-T15-SPRING-2026,Div A,League,04/25/2026,8:00 AM,KC Rockers,Telugu Yuvatha,PCG,Bharat XI,Kansas Eagles,,,,,,True
5,CPLKC-T15-SPRING-2026,Div C,League,04/26/2026,8:00 AM,KC Lions,Prime XI,PCG,Elite XI,World XI,,,,,,True
6,CPLKC-T15-SPRING-2026,Div C,League,04/26/2026,1:30 PM,Ace XI,KC Blues,PCG,KC Khiladis,Punjab XI,,,,,,True
7,CPLKC-T15-SPRING-2026,Div D,League,04/26/2026,1:30 PM,Bengal Warriors,KC Fusion,OCG,Sixers,Wolves,,,,,,True
8,CPLKC-T15-SPRING-2026,Div C,League,04/25/2026,10:45 AM,Bharat XI,Midwest Warriors,PCG,Telugu Yevatha,KC Legends,,,,,,True
9,CPLKC-T15-SPRING-2026,Div D,League,04/25/2026,4:15 PM,KC Supernovas,Rc's XI,PCG,Killer XI,Rising Stars,,,,,,True
10,CPLKC-T15-SPRING-2026,Div B,League,04/25/2026,1:30 PM,Dominators,Killer XI,PCG,KC Supernovas,Lakes XI,,,,,,True
11,CPLKC-T15-SPRING-2026,Div D,League,04/26/2026,10:45 AM,Elites XI,KC Khiladis,PCG,KC Lions,KC Blues,,,,,,True
12,CPLKC-T15-SPRING-2026,Div A,League,04/25/2026,1:30 PM,Lakes XI,Pirates,OCG,Rising Stars,KC Legends,,,,,,True
13,CPLKC-T15-SPRING-2026,Div B,League,04/26/2026,8:00 AM,Sunrisers Lakes XI,Wolves,OCG,LIMRA Defenders,KC Raptors,,,,,,True
14,CPLKC-T15-SPRING-2026,Div A,League,04/25/2026,10:45 AM,Kansas Kings,Tuskers,OCG,Nepal XI,,,,,,,True
15,CPLKC-T15-SPRING-2026,Div C,League,04/26/2026,4:15 PM,Kansas Eagles,Sixers,OCG,KC Fusion,,,,,,,True
16,CPLKC-T15-SPRING-2026,Div D,League,05/10/2026,10:45 AM,Bengal Warriors,Punjab XI,OCG,KC Blues,KC Blues,,,,,,False
17,CPLKC-T15-SPRING-2026,Div A,League,05/03/2026,8:00 AM,Kansas Kings,KC Raptors,PCG,Shivams,Shivams,,,,,,False
18,CPLKC-T15-SPRING-2026,Div A,League,05/02/2026,1:30 PM,Pirates,Telugu Yuvatha,OCG,Rising Stars,Rising Stars,,,,,,False
19,CPLKC-T15-SPRING-2026,Div C,League,05/09/2026,4:15 PM,Bharat XI,KC Lions,OCG,KC Supernovas,KC Supernovas,,,,,,False
20,CPLKC-T15-SPRING-2026,Div A,League,05/03/2026,10:45 AM,Lakes XI,Tuskers,OCG,Kansas Eagles,Kansas Eagles,,,,,,False
21,CPLKC-T15-SPRING-2026,Div A,League,05/09/2026,4:15 PM,Pirates,Tuskers,PCG,Killer XI,Killer XI,,,,,,False
22,CPLKC-T15-SPRING-2026,Div B,League,05/10/2026,10:45 AM,KC Royals,Rising Stars,PCG,KC Raptors,KC Raptors,,,,,,False
23,CPLKC-T15-SPRING-2026,Div B,League,05/16/2026,8:00 AM,KC Royals,Sunrisers Lakes XI,OCG,Punjab XI,Punjab XI,,,,,,False
24,CPLKC-T15-SPRING-2026,Div D,League,05/17/2026,10:45 AM,Bengal Warriors,Elites XI,OCG,Prime XI,Prime XI,,,,,,False
25,CPLKC-T15-SPRING-2026,Div C,League,05/16/2026,1:30 PM,Bharat XI,Sixers,OCG,Lakes XI,Lakes XI,,,,,,False
26,CPLKC-T15-SPRING-2026,Div C,League,05/31/2026,8:00 AM,Jaguars,Prime XI,OCG,Pehlwan XI,Pehlwan XI,,,,,,False
27,CPLKC-T15-SPRING-2026,Div D,League,05/09/2026,1:30 PM,KC Supernovas,Punjab Eagles,OCG,Bharat XI,Bharat XI,,,,,,False
28,CPLKC-T15-SPRING-2026,Div C,League,06/07/2026,10:45 AM,Jaguars,Sixers,OCG,Nepal XI,Nepal XI,,,,,,False
29,CPLKC-T15-SPRING-2026,Div C,League,05/03/2026,4:15 PM,Bharat XI,Jaguars,OCG,Nepal XI,Nepal XI,,,,,,False
30,CPLKC-T15-SPRING-2026,Div C,League,05/17/2026,4:15 PM,Kansas Eagles,KC Lions,PCG,LIMRA Defenders,LIMRA Defenders,,,,,,False
31,CPLKC-T15-SPRING-2026,Div D,League,05/16/2026,10:45 AM,KC Supernovas,Punjab XI,OCG,Sixers,Sixers,,,,,,False
32,CPLKC-T15-SPRING-2026,Div A,League,05/10/2026,8:00 AM,KC Raptors,KC Rockers,PCG,KC Royals,KC Royals,,,,,,False
33,CPLKC-T15-SPRING-2026,Div A,League,05/03/2026,1:30 PM,KC Rockers,LIMRA Defenders,PCG,KC Fusion,KC Fusion,,,,,,False
34,CPLKC-T15-SPRING-2026,Div B,League,05/10/2026,4:15 PM,Blue Titans,Dominators,OCG,Midwest Warriors,Midwest Warriors,,,,,,False
35,CPLKC-T15-SPRING-2026,Div B,League,05/17/2026,10:45 AM,Killer XI,Rising Stars,PCG,Telugu Yuvatha,Telugu Yuvatha,,,,,,False
36,CPLKC-T15-SPRING-2026,Div B,League,05/09/2026,1:30 PM,Killer XI,Sunrisers Lakes XI,PCG,KC Khiladis,KC Khiladis,,,,,,False
37,CPLKC-T15-SPRING-2026,Div B,League,05/02/2026,1:30 PM,Killer XI,Wolves,PCG,KC Lions,KC Lions,,,,,,False
38,CPLKC-T15-SPRING-2026,Div B,League,05/31/2026,10:45 AM,Nepal XI,Pehlwan XI,OCG,Prime XI,Prime XI,,,,,,False
39,CPLKC-T15-SPRING-2026,Div B,League,06/07/2026,8:00 AM,Pehlwan XI,Rising Stars,OCG,Jaguars,Jaguars,,,,,,False
40,CPLKC-T15-SPRING-2026,Div B,League,05/10/2026,4:15 PM,Pehlwan XI,Wolves,PCG,Rc's XI,Rc's XI,,,,,,False
41,CPLKC-T15-SPRING-2026,Div C,League,05/02/2026,10:45 AM,Ace XI,KC Lions,PCG,Wolves,Wolves,,,,,,False
42,CPLKC-T15-SPRING-2026,Div C,League,05/09/2026,8:00 AM,Blue Caps,Sixers,OCG,Kansas Kings,Kansas Kings,,,,,,False
43,CPLKC-T15-SPRING-2026,Div D,League,05/02/2026,4:15 PM,Elites XI,Punjab Eagles,PCG,Killer XI,Killer XI,,,,,,False
44,CPLKC-T15-SPRING-2026,Div D,League,06/06/2026,8:00 AM,KC Supernovas,Shivams,OCG,Blue Caps,Blue Caps,,,,,,False
45,CPLKC-T15-SPRING-2026,Div D,League,06/13/2026,8:00 AM,Punjab Eagles,Shivams,OCG,Pehlwan XI,Pehlwan XI,,,,,,False
46,CPLKC-T15-SPRING-2026,Div C,League,05/09/2026,10:45 AM,Ace XI,Kansas Eagles,OCG,Punjab Eagles,Punjab Eagles,,,,,,False
47,CPLKC-T15-SPRING-2026,Div D,League,06/06/2026,1:30 PM,KC Legends,Punjab XI,OCG,KC Blues,KC Blues,,,,,,False
48,CPLKC-T15-SPRING-2026,Div D,League,05/09/2026,8:00 AM,Elites XI,KC Legends,PCG,Jaguars,Jaguars,,,,,,False
49,CPLKC-T15-SPRING-2026,Div D,League,05/16/2026,1:30 PM,KC Khiladis,KC Legends,PCG,Ace XI,Ace XI,,,,,,False
50,CPLKC-T15-SPRING-2026,Div C,League,05/16/2026,10:45 AM,Ace XI,Jaguars,PCG,KC Legends,KC Legends,,,,,,False
51,CPLKC-T15-SPRING-2026,Div D,League,06/13/2026,1:30 PM,Elites XI,Punjab XI,OCG,Dominators,Dominators,,,,,,False
52,CPLKC-T15-SPRING-2026,Div D,League,05/03/2026,4:15 PM,KC Khiladis,Punjab XI,PCG,LIMRA Defenders,LIMRA Defenders,,,,,,False
53,CPLKC-T15-SPRING-2026,Div D,League,05/30/2026,8:00 AM,Punjab XI,Shivams,PCG,Bharat XI,Bharat XI,,,,,,False
54,CPLKC-T15-SPRING-2026,Div B,League,06/13/2026,10:45 AM,Dominators,Pehlwan XI,OCG,Shivams,Shivams,,,,,,False
55,CPLKC-T15-SPRING-2026,Div D,League,06/06/2026,10:45 AM,Elites XI,KC Fusion,OCG,Telugu Yuvatha,Telugu Yuvatha,,,,,,False
56,CPLKC-T15-SPRING-2026,Div D,League,06/20/2026,8:00 AM,Elites XI,Shivams,OCG,Tuskers,Tuskers,,,,,,False
57,CPLKC-T15-SPRING-2026,Div D,League,05/09/2026,10:45 AM,KC Fusion,KC Khiladis,PCG,Sunrisers Lakes XI,Sunrisers Lakes XI,,,,,,False
58,CPLKC-T15-SPRING-2026,Div D,League,05/10/2026,1:30 PM,Rc's XI,Shivams,PCG,Pehlwan XI,Pehlwan XI,,,,,,False
59,CPLKC-T15-SPRING-2026,Div B,League,06/20/2026,1:30 PM,Blue Titans,Pehlwan XI,OCG,Kansas Eagles,Kansas Eagles,,,,,,False
60,CPLKC-T15-SPRING-2026,Div B,League,06/27/2026,8:00 AM,KC Royals,Pehlwan XI,OCG,Kansas Kings,Kansas Kings,,,,,,False
61,CPLKC-T15-SPRING-2026,Div C,League,06/13/2026,4:15 PM,Blue Caps,Jaguars,OCG,Punjab XI,Punjab XI,,,,,,False
62,CPLKC-T15-SPRING-2026,Div D,League,06/28/2026,8:00 AM,KC Legends,Shivams,OCG,Nepal XI,Nepal XI,,,,,,False
63,CPLKC-T15-SPRING-2026,Div B,League,06/07/2026,1:30 PM,Nepal XI,Sunrisers Lakes XI,OCG,Prime XI,Prime XI,,,,,,False
64,CPLKC-T15-SPRING-2026,Div B,League,06/21/2026,8:00 AM,Dominators,Nepal XI,OCG,KC Lions,KC Lions,,,,,,False
65,CPLKC-T15-SPRING-2026,Div B,League,06/14/2026,1:30 PM,Rising Stars,Sunrisers Lakes XI,OCG,Bharat XI,Bharat XI,,,,,,False
66,CPLKC-T15-SPRING-2026,Div D,League,06/13/2026,8:00 AM,Bengal Warriors,KC Legends,PCG,KC Royals,KC Royals,,,,,,False
67,CPLKC-T15-SPRING-2026,Div B,League,05/30/2026,8:00 AM,KC Royals,Wolves,OCG,Rc's XI,Rc's XI,,,,,,False
68,CPLKC-T15-SPRING-2026,Div C,League,06/06/2026,4:15 PM,KC Blues,KC Lions,OCG,KC Legends,KC Legends,,,,,,False
69,CPLKC-T15-SPRING-2026,Div D,League,06/06/2026,8:00 AM,Bengal Warriors,KC Khiladis,PCG,Dominators,Dominators,,,,,,False
70,CPLKC-T15-SPRING-2026,Div D,League,06/20/2026,10:45 AM,Bengal Warriors,Punjab Eagles,OCG,Blue Titans,Blue Titans,,,,,,False
71,CPLKC-T15-SPRING-2026,Div D,League,05/03/2026,8:00 AM,Bengal Warriors,Rc's XI,OCG,Lakes XI,Lakes XI,,,,,,False
72,CPLKC-T15-SPRING-2026,Div D,League,06/28/2026,1:30 PM,Bengal Warriors,KC Supernovas,OCG,Sunrisers Lakes XI,Sunrisers Lakes XI,,,,,,False
73,CPLKC-T15-SPRING-2026,Div A,League,05/16/2026,4:15 PM,Kansas Kings,Lakes XI,OCG,Sixers,Sixers,,,,,,False
74,CPLKC-T15-SPRING-2026,Div A,League,06/06/2026,1:30 PM,Kansas Kings,Pirates,PCG,Wolves,Wolves,,,,,,False
75,CPLKC-T15-SPRING-2026,Div A,League,05/17/2026,8:00 AM,KC Raptors,Telugu Yuvatha,PCG,Rising Stars,Rising Stars,,,,,,False
76,CPLKC-T15-SPRING-2026,Div A,League,05/31/2026,4:15 PM,KC Rockers,Lakes XI,OCG,Blue Titans,Blue Titans,,,,,,False
77,CPLKC-T15-SPRING-2026,Div A,League,05/31/2026,8:00 AM,LIMRA Defenders,Telugu Yuvatha,PCG,Bengal Warriors,Bengal Warriors,,,,,,False
78,CPLKC-T15-SPRING-2026,Div B,League,06/14/2026,10:45 AM,Nepal XI,Wolves,OCG,KC Lions,KC Lions,,,,,,False
79,CPLKC-T15-SPRING-2026,Div C,League,06/07/2026,4:15 PM,Ace XI,Prime XI,OCG,Sunrisers Lakes XI,Sunrisers Lakes XI,,,,,,False
80,CPLKC-T15-SPRING-2026,Div C,League,06/21/2026,1:30 PM,Blue Caps,Prime XI,OCG,Rising Stars,Rising Stars,,,,,,False
81,CPLKC-T15-SPRING-2026,Div C,League,05/17/2026,1:30 PM,Midwest Warriors,Prime XI,OCG,Elites XI,Elites XI,,,,,,False
82,CPLKC-T15-SPRING-2026,Div B,League,05/31/2026,1:30 PM,Blue Titans,Killer XI,OCG,KC Rockers,KC Rockers,,,,,,False
83,CPLKC-T15-SPRING-2026,Div B,League,05/30/2026,4:15 PM,Dominators,Sunrisers Lakes XI,PCG,Pirates,Pirates,,,,,,False
84,CPLKC-T15-SPRING-2026,Div B,League,06/13/2026,10:45 AM,KC Royals,Killer XI,PCG,Rc's XI,Rc's XI,,,,,,False
85,CPLKC-T15-SPRING-2026,Div B,League,06/28/2026,10:45 AM,Killer XI,Nepal XI,OCG,KC Supernovas,KC Supernovas,,,,,,False
86,CPLKC-T15-SPRING-2026,Div B,League,05/02/2026,10:45 AM,Pehlwan XI,Sunrisers Lakes XI,OCG,Telugu Yuvatha,Telugu Yuvatha,,,,,,False
87,CPLKC-T15-SPRING-2026,Div B,League,06/28/2026,4:15 PM,Blue Titans,Sunrisers Lakes XI,OCG,Bengal Warriors,Bengal Warriors,,,,,,False
88,CPLKC-T15-SPRING-2026,Div B,League,06/21/2026,4:15 PM,Rising Stars,Wolves,OCG,Blue Caps,Blue Caps,,,,,,False
89,CPLKC-T15-SPRING-2026,Div C,League,06/14/2026,4:15 PM,Ace XI,Bharat XI,OCG,Rising Stars,Rising Stars,,,,,,False
90,CPLKC-T15-SPRING-2026,Div C,League,06/28/2026,8:00 AM,Bharat XI,Blue Caps,PCG,Pirates,Pirates,,,,,,False
91,CPLKC-T15-SPRING-2026,Div C,League,07/11/2026,8:00 AM,Blue Caps,KC Lions,OCG,Shivams,Shivams,,,,,,False
92,CPLKC-T15-SPRING-2026,Div C,League,05/31/2026,1:30 PM,KC Lions,Midwest Warriors,PCG,Tuskers,Tuskers,,,,,,False
93,CPLKC-T15-SPRING-2026,Div C,League,05/02/2026,8:00 AM,Midwest Warriors,Sixers,OCG,Sunrisers Lakes XI,Sunrisers Lakes XI,,,,,,False
94,CPLKC-T15-SPRING-2026,Div D,League,06/14/2026,8:00 AM,KC Fusion,KC Supernovas,PCG,Midwest Warriors,Midwest Warriors,,,,,,False
95,CPLKC-T15-SPRING-2026,Div D,League,06/21/2026,8:00 AM,KC Khiladis,KC Supernovas,PCG,Killer XI,Killer XI,,,,,,False
96,CPLKC-T15-SPRING-2026,Div C,League,06/20/2026,4:15 PM,Jaguars,Kansas Eagles,OCG,Blue Titans,Blue Titans,,,,,,False
97,CPLKC-T15-SPRING-2026,Div C,League,05/03/2026,1:30 PM,Blue Caps,Kansas Eagles,OCG,Tuskers,Tuskers,,,,,,False
98,CPLKC-T15-SPRING-2026,Div C,League,06/28/2026,1:30 PM,Kansas Eagles,Prime XI,PCG,Elites XI,Elites XI,,,,,,False
99,CPLKC-T15-SPRING-2026,Div C,League,06/07/2026,1:30 PM,Kansas Eagles,Midwest Warriors,PCG,Lakes XI,Lakes XI,,,,,,False
100,CPLKC-T15-SPRING-2026,Div D,League,05/30/2026,10:45 AM,KC Legends,Rc's XI,OCG,Wolves,Wolves,,,,,,False
101,CPLKC-T15-SPRING-2026,Div C,League,06/27/2026,1:30 PM,Jaguars,Midwest Warriors,OCG,LIMRA Defenders,LIMRA Defenders,,,,,,False
102,CPLKC-T15-SPRING-2026,Div D,League,06/20/2026,8:00 AM,Punjab XI,Rc's XI,PCG,KC Rockers,KC Rockers,,,,,,False
103,CPLKC-T15-SPRING-2026,Div B,League,07/11/2026,1:30 PM,Killer XI,Pehlwan XI,OCG,KC Khiladis,KC Khiladis,,,,,,False
104,CPLKC-T15-SPRING-2026,Div C,League,05/30/2026,4:15 PM,Ace XI,Blue Caps,OCG,Punjab Eagles,Punjab Eagles,,,,,,False
105,CPLKC-T15-SPRING-2026,Div C,League,06/20/2026,1:30 PM,Ace XI,Midwest Warriors,PCG,KC Fusion,KC Fusion,,,,,,False
106,CPLKC-T15-SPRING-2026,Div D,League,05/16/2026,8:00 AM,KC Fusion,Rc's XI,PCG,Jaguars,Jaguars,,,,,,False
107,CPLKC-T15-SPRING-2026,Div D,League,05/03/2026,10:45 AM,KC Fusion,Shivams,PCG,Kansas Kings,Kansas Kings,,,,,,False
108,CPLKC-T15-SPRING-2026,Div D,League,06/20/2026,10:45 AM,KC Fusion,KC Legends,PCG,Midwest Warriors,Midwest Warriors,,,,,,False
109,CPLKC-T15-SPRING-2026,Div D,League,06/13/2026,1:30 PM,KC Khiladis,Rc's XI,PCG,KC Royals,KC Royals,,,,,,False
110,CPLKC-T15-SPRING-2026,Div D,League,07/11/2026,10:45 AM,KC Khiladis,Shivams,OCG,Killer XI,Killer XI,,,,,,False
111,CPLKC-T15-SPRING-2026,Div A,League,06/20/2026,4:15 PM,LIMRA Defenders,Pirates,PCG,Ace XI,Ace XI,,,,,,False
112,CPLKC-T15-SPRING-2026,Div A,League,06/27/2026,10:45 AM,Kansas Kings,LIMRA Defenders,OCG,Pehlwan XI,Pehlwan XI,,,,,,False
113,CPLKC-T15-SPRING-2026,Div A,League,06/21/2026,1:30 PM,KC Raptors,Lakes XI,PCG,Sixers,Sixers,,,,,,False
114,CPLKC-T15-SPRING-2026,Div C,League,05/30/2026,10:45 AM,Bharat XI,KC Blues,PCG,KC Raptors,KC Raptors,,,,,,False
115,CPLKC-T15-SPRING-2026,Div C,League,07/11/2026,4:15 PM,Bharat XI,Kansas Eagles,OCG,Pehlwan XI,Pehlwan XI,,,,,,False
116,CPLKC-T15-SPRING-2026,Div A,League,05/10/2026,8:00 AM,Lakes XI,Telugu Yuvatha,OCG,Bengal Warriors,Bengal Warriors,,,,,,False
117,CPLKC-T15-SPRING-2026,Div C,League,06/14/2026,1:30 PM,KC Blues,Prime XI,PCG,LIMRA Defenders,LIMRA Defenders,,,,,,False
118,CPLKC-T15-SPRING-2026,Div C,League,07/12/2026,8:00 AM,Prime XI,Sixers,OCG,KC Fusion,KC Fusion,,,,,,False
119,CPLKC-T15-SPRING-2026,Div C,League,05/10/2026,1:30 PM,KC Blues,Midwest Warriors,OCG,Blue Titans,Blue Titans,,,,,,False
120,CPLKC-T15-SPRING-2026,Div B,League,05/02/2026,4:15 PM,Blue Titans,Rising Stars,OCG,Pirates,Pirates,,,,,,False
121,CPLKC-T15-SPRING-2026,Div B,League,06/27/2026,4:15 PM,Dominators,Rising Stars,OCG,Jaguars,Jaguars,,,,,,False
122,CPLKC-T15-SPRING-2026,Div C,League,06/21/2026,4:15 PM,KC Blues,Sixers,PCG,KC Raptors,KC Raptors,,,,,,False
123,CPLKC-T15-SPRING-2026,Div C,League,06/28/2026,10:45 AM,KC Lions,Sixers,PCG,Punjab Eagles,Punjab Eagles,,,,,,False
124,CPLKC-T15-SPRING-2026,Div D,League,05/30/2026,1:30 PM,KC Fusion,Punjab Eagles,OCG,Blue Caps,Blue Caps,,,,,,False
125,CPLKC-T15-SPRING-2026,Div D,League,07/11/2026,8:00 AM,Elites XI,KC Supernovas,PCG,KC Blues,KC Blues,,,,,,False
126,CPLKC-T15-SPRING-2026,Div D,League,07/11/2026,1:30 PM,KC Legends,Punjab Eagles,PCG,KC Blues,KC Blues,,,,,,False
127,CPLKC-T15-SPRING-2026,Div C,League,05/17/2026,4:15 PM,Blue Caps,KC Blues,OCG,KC Rockers,KC Rockers,,,,,,False
128,CPLKC-T15-SPRING-2026,Div D,League,06/06/2026,4:15 PM,Punjab Eagles,Rc's XI,PCG,Kansas Kings,Kansas Kings,,,,,,False
129,CPLKC-T15-SPRING-2026,Div C,League,07/11/2026,10:45 AM,Jaguars,KC Blues,PCG,KC Legends,KC Legends,,,,,,False
130,CPLKC-T15-SPRING-2026,Div B,League,06/07/2026,8:00 AM,Blue Titans,KC Royals,PCG,KC Raptors,KC Raptors,,,,,,False
131,CPLKC-T15-SPRING-2026,Div A,League,07/12/2026,1:30 PM,Lakes XI,LIMRA Defenders,OCG,Punjab XI,Punjab XI,,,,,,False
132,CPLKC-T15-SPRING-2026,Div B,League,06/06/2026,10:45 AM,Dominators,Wolves,PCG,KC Khiladis,KC Khiladis,,,,,,False
133,CPLKC-T15-SPRING-2026,Div B,League,05/02/2026,8:00 AM,Dominators,KC Royals,PCG,Ace XI,Ace XI,,,,,,False
134,CPLKC-T15-SPRING-2026,Div A,League,05/30/2026,1:30 PM,KC Raptors,Pirates,PCG,Dominators,Dominators,,,,,,False
135,CPLKC-T15-SPRING-2026,Div A,League,05/17/2026,1:30 PM,LIMRA Defenders,Tuskers,PCG,Kansas Eagles,Kansas Eagles,,,,,,False
136,CPLKC-T15-SPRING-2026,Div B,League,05/17/2026,8:00 AM,Blue Titans,Nepal XI,OCG,Elites XI,Elites XI,,,,,,False
137,CPLKC-T15-SPRING-2026,Div A,League,07/12/2026,8:00 AM,Kansas Kings,Telugu Yuvatha,PCG,Blue Titans,,,,,,,False
138,CPLKC-T15-SPRING-2026,Div A,League,07/11/2026,4:15 PM,KC Rockers,Pirates,PCG,KC Blues,,,,,,,False
139,CPLKC-T15-SPRING-2026,Div A,League,05/03/2026,8:00 AM,KC Raptors,Tuskers,PCG,KC Lions,Dominators,,,,,,False
140,CPLKC-T15-SPRING-2026,Div A,League,06/28/2026,4:15 PM,KC Rockers,Tuskers,PCG,Prime XI,Kansas Eagles,,,,,,False
